Run number;Max width;Min width;Number of orders;Average reel width;Deviation of widths;Number of ordered reels;Weighted average width;Total waste percentage
00850;4900;500;319;2869.59247648903;997.189520763519;1133.86458828531;2666.51970919156;0.9433962264
00853;4900;500;93;3087.09677419355;1183.51225691671;732.555653209638;3320.54587260586;3.2064483572
00860;5000;600;138;3491.30434782609;1146.01679334899;1091.34794497404;3440.17078130465;1.1461318052
00863;5000;1100;168;3355.35714285714;1033.67021974235;1327.1380520924;3474.74323203325;9.5623424801
00868;5000;1000;87;3093.10344827586;1102.40678596068;797.993436018881;3081.32930181642;2.0991253644
00869;4900;700;93;3300;1024.69507659596;709.015802283861;3189.93389590195;4.5775483565
00872;5000;500;138;3060.86956521739;1044.16591115391;1103.01242822996;3064.00359872748;1.6706924316
00875;5000;600;120;3565;1090.26633088842;998.403249442933;3492.50574471856;9.1368786582
00880;4900;1000;87;3568.96551724138;924.512485587087;671.625534759241;3550.41087077806;10.7960941386
00883;5000;500;234;3328.20512820513;946.903347315944;1737.10551203276;3313.07426738851;1.5329682131
00888;4700;1500;105;3194.28571428571;826.464733696457;853.023731760321;3306.99312565571;3.3372670948
00889;5000;600;180;3226.66666666667;1070.82174888125;1325.03382105756;3176.63817964525;2.1473370894
00891;5000;800;126;3171.42857142857;1175.40509734182;928.966711125842;3117.92679560066;1.3639808032
00894;5000;1800;153;3207.8431372549;886.041567559177;1208.77920357643;3296.60453590694;5.050295858
00898;4900;500;189;3071.42857142857;1014.90413100784;1362.08313300228;2954.94910163832;0.4415848618
00899;4800;500;189;3219.04761904762;1080.02026323443;1528.45702567744;3195.61362279907;0.1989121989
00904;4900;500;87;1948.27586206897;1195.81266217382;664.674220042901;1765.55802883445;0
00906;4800;500;114;2339.47368421053;1376.32436114782;973.106320654501;2279.73510250854;1.2539184953
00908;5000;500;90;2640;1448.81198910531;598.367005182676;2711.38667976263;0.6211180124
00911;4800;500;87;1941.37931034483;1225.746258136;609.94258706574;2065.15546883401;0
00912;5000;500;108;2005.55555555556;1406.51576754808;704.937700661542;2041.64591019959;0.3164556962
00915;3900;600;105;1642.85714285714;896.559357387274;648.419654823999;1616.12905369871;0.9287925697
00919;4900;500;111;2329.72972972973;1368.58218570066;794.772826073841;2388.84767683547;0.3674969375
00920;4800;500;111;2224.32432432432;1369.88494647717;868.018523207033;2109.24031019559;1.2345679012
00926;4500;500;90;1316.66666666667;776.371566319094;616.222124660758;1197.28425745618;0
00933;5000;500;63;2038.09523809524;1157.50406833098;500.357643764586;2256.50585937973;0.9601231099
00934;4800;500;90;2186.66666666667;1379.23606929034;841.288514113145;2238.71331463403;1.2539184953
00938;4800;500;78;1738.46153846154;1195.79683472155;636.898769568766;1666.28263057773;0.3164556962
00941;4900;500;165;1998.18181818182;1201.14136407697;1338.52609034604;1884.78703991313;0.3164556962
00947;5000;500;63;2157.14285714286;1475.13960910805;543.784059005421;1754.12723895739;1.2539184953
00953;4500;500;192;1929.6875;1048.51123888246;1517.31189399998;1905.73355036353;0.6211180124
00954;4900;500;183;2059.01639344262;1074.38360286417;1453.91831440792;2069.55098332483;0.6309148265
00958;4600;500;228;2222.36842105263;1046.1507397483;1657.44653218573;2217.85794619164;0
00963;5000;500;159;2241.50943396226;1168.15888283373;1307.18421658942;2258.76335215074;0
00970;5000;500;198;2006.06060606061;935.733723005201;1382.61666428576;1942.87440527737;0.3164556962
00976;4900;500;183;2260.65573770492;1023.13008559082;1449.36366112107;2162.79474220685;1.2539184953
00977;5000;500;192;2509.375;1156.23310798472;1224.90584698513;2506.51792693728;0.3164556962
00982;4900;600;156;2405.76923076923;1097.28347174726;1254.02526431063;2570.35193704785;0.6309148265
00985;4900;500;150;2186;1132.49916662932;1181.71457939911;2311.39646564114;0
00989;3500;600;156;2005.76923076923;824.796388138222;1251.37370537197;2108.13514932839;0
00991;4600;500;174;2177.58620689655;1088.14575859458;1465.27510911849;2243.89332720836;0.9287925697
00997;4500;500;198;2095.45454545455;1007.14681958367;1494.25565572486;2181.79165919169;0.9287925697
01001;5000;500;264;2851.13636363636;1286.8738598418;1926.4713383655;2763.75840927908;0.3115264798
01003;5000;500;222;2524.32432432432;1220.83838978621;1951.35598065051;2423.01898632082;0.9433962264
01005;5000;500;180;2413.33333333333;1381.33608708195;1405.47775083859;2472.50004817703;1.2345679012
01008;5000;500;192;3018.75;1267.95481941738;1562.26269516796;3029.62402660376;0.3115264798
01009;5000;500;204;2394.11764705882;1373.953594086;1489.34461117945;2372.79533718277;0
01012;5000;500;288;2587.5;1220.66269771907;2428.35486935048;2687.08461747755;0.3164556962
01017;4900;500;210;2415.71428571429;1135.67243503541;1597.91023769172;2405.92377497261;1.2345679012
01018;5000;500;282;2710.63829787234;1306.44186187403;2091.77904596748;2630.44508610134;0.3164556962
01021;5000;600;204;2782.35294117647;1473.60432522818;1465.76336218194;2792.20478403117;0
01023;5000;500;318;2878.30188679245;1311.53615114845;2506.96158889534;2860.83836386306;0.0593171296
01025;5000;500;249;2549.39759036145;1248.84205986107;1954.09573298742;2495.30682278749;1.2539184953
01028;5000;500;255;2543.52941176471;1341.32796979588;2101.68271804312;2654.19371911741;1.2345679012
01031;5000;500;228;2764.47368421053;1201.83823382084;1857.63469496758;2750.80675604068;0.9364940006
01033;5000;500;258;2934.88372093023;1372.92616371676;2121.25616733638;2815.52751157405;0.3115264798
01035;4800;500;225;2257.33333333333;1197.22596029321;1687.69441462191;2278.5617105034;0.6309148265
01038;4800;500;150;2852;1163.58160334847;1269.30855443488;2988.28809508041;0.9433962264
01041;5000;500;276;2720.65217391304;1424.50282568876;2325.5042921954;2644.07299127758;1.2345679012
01049;5000;500;204;2688.23529411765;1121.11785502532;1493.98636593741;2722.45452508789;0.3115264798
